i,j,x,y,rho,u,v,p,in_wedge
0,0,0.0250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
1,0,0.0750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
2,0,0.1250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
3,0,0.1750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
4,0,0.2250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
5,0,0.2750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
6,0,0.3250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
7,0,0.3750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
8,0,0.4250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
9,0,0.4750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
10,0,0.5250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
11,0,0.5750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
12,0,0.6250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
13,0,0.6750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
14,0,0.7250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
15,0,0.7750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
16,0,0.8250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
17,0,0.8750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
18,0,0.9250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
19,0,0.9750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
20,0,1.0250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
21,0,1.0750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
22,0,1.1250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
23,0,1.1750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
24,0,1.2250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
25,0,1.2750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
26,0,1.3250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
27,0,1.3750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
28,0,1.4250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
29,0,1.4750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
30,0,1.5250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
31,0,1.5750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
32,0,1.6250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
33,0,1.6750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
34,0,1.7250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
35,0,1.7750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
36,0,1.8250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
37,0,1.8750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
38,0,1.9250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
39,0,1.9750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
40,0,2.0250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
41,0,2.0750,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
42,0,2.1250,0.0250,1.000000e+00,5.916080e+00,0.000000e+00,1.000000e+00,0
